Size,Dir,Returnn,Abort,ExpectedGain,MaxLoss
48,-1,7,97,80.0000000747407,-54
49,-1,6,97,3.61111117807009,-53
50,-1,6,97,40.0000000699897,-52
52,-1,10,97,12.2222222918671,-50
53,-1,6,97,141.388888965003,-49
54,-1,6,99,174.444444521572,-50
55,-1,7,99,143.333333407199,-49
56,-1,7,97,135.27777785058,-46
57,-1,7,97,70.5555556211043,-45
58,0,-9,-9,74.4827867681466,-44.0351823619092
59,-1,7,97,75.0000000627984,-43
60,0,-9,-9,99.5496730418014,-41.5062083237526
61,0,-9,-9,162.06330538059,-40.0249788825872
62,-1,7,96,268.888888966816,-39
63,-1,7,96,278.333333410407,-38
64,0,-9,-9,282.972261094844,-36.9748603351955
65,-1,7,96,289.722222299051,-36
66,-1,7,96,219.722222291812,-35
67,0,-9,-9,219.97438292818,-33.9695699425555
68,-1,7,96,217.777777844786,-33
69,-1,7,96,315.555555630787,-32
70,-1,7,96,258.611111180635,-31
71,0,-9,-9,297.510763176033,-30.4880529544721
72,-1,11,97,338.888888963505,-30
73,0,-9,-9,305.171762660833,-28.4471223021583
74,0,-9,-9,323.282083455463,-27.50256504214
75,-1,11,96,347.77777785039,-26
76,0,-9,-9,424.413427938817,-24.9753133308014
77,-1,11,96,500.277777862576,-24
78,-1,11,96,518.055555641777,-23
79,-1,11,96,416.11111118999,-22
80,-1,10,96,235.000000063992,-21
81,-1,10,96,207.777777839222,-20
82,0,-9,-9,187.570655406119,-20.9911430943814
83,0,-9,-9,168.297485905719,-21.4574652777778
84,-1,10,100,215.277777832538,-21
85,-1,10,100,244.44444450077,-20
86,-1,10,100,347.222222286777,-19
87,-1,10,100,230.277777831367,-18
89,-1,10,100,86.3888889297377,-16
90,-1,10,100,71.1111111507616,-15
91,-1,6,100,1.94444447692653,-14
